matricula,numero_bastidor,anno,marca,modelo,categoria,dni_usuario
3308-DSC,T9JW7ZT5X2AL60U0Z,2006,Kia,Sorento,berlina,25464805X
A-5426-CH,B9U047MJ3BSNF5VVN,1998,Audi,Q7,cupé,17663238C
1482-FPK,A9FF6VLX3GHS06DR5,2008,Kia,Sportage,berlina,95868797J
7773-KWZ,3MZMXDXJ134U5GAMT,2018,Mercedes-Benz,E-Class,todoterreno,42396623X
9044-KTJ,PK23YXW015S3RVFMH,2019,Renault,Megane,furgoneta,87779854D
7363-CXW,L5570A907X7W5GT7E,2004,Toyota,Camry,cupé,75883048E
1201-JZD,YJ4WX6S90T6DPVVVP,2015,Peugeot,308,berlina,04001453M
6479-FTC,BYM3CSLZ63L023K0G,2008,Ford,Focus,SUV,81079367C
6272-BDT,11YCLSA89TE2JTK2F,2001,Honda,CR-V,todoterreno,92324617H
4769-MJV,G0X2W1KV7FGVZSFEE,2023,BMW,Z4,furgoneta,76346370D
C-4282-TV,VXG63FYV0V49XV6SF,1994,Kia,Ceed,monovolumen,07713989L
7481-JWH,G4UDYNY42XU4EYESP,2017,Honda,CR-V,monovolumen,86243347V
4707-KCM,7GHLMF1S41DHSBHBM,2018,BMW,320,deportivo,78576986Q
9600-KBX,HTCDD3M0XU3HGJUXC,2018,Kia,Sportage,SUV,76169039P
O-5995-XG,S9ZYV8HC7115UM0FS,1990,Renault,Kadjar,berlina,71487201G
8131-DYP,TW67EU8D17JP0L9NU,2006,Hyundai,Elantra,berlina,46810843R
9840-JTZ,TSXVXTRT0PMP8ARMY,2017,Skoda,Fabia,descapotable,88335627X
L-9577-YG,9HESL3EXX247P0NEH,1990,Honda,Jazz,descapotable,64412056G
2081-BNN,T5XVG2XX8DZLSRJNN,2000,Kia,Sorento,SUV,22148159X
3628-DXC,95BRZ8DY7KCWT4DLV,2006,Kia,Sportage,sedán,58015563H
BI-2117-LY,HT08E5LX66LNUAXYH,1995,Seat,Arona,urbanos,64317038E
PO-1924-HN,4BXMDBGCX0T7NA5X3,1991,Toyota,Yaris,sedán,42458915H
8492-MGY,N88155M57ML5Y66MZ,2023,Mercedes-Benz,C-Class,monovolumen,46814436Y
9626-BKD,K7BLNLYJ72M1G1A8X,2000,Mazda,Mazda6,todoterreno,75319903D
4966-MDX,GFTWZNX3890XUVBMM,2023,Volkswagen,Polo,urbanos,70443877Y
PO-8371-RW,UM9215JD264EF0CME,1999,Peugeot,208,berlina,69117657N
CO-3737-YP,65R8CHB74U6UMGAJW,1993,Mercedes-Benz,E-Class,deportivo,21443151K
CC-9584-NG,JC7N4L0MX2GMK9LTV,1994,Nissan,Micra,monovolumen,53303568X
2821-JZK,MZV8B79J6X69R9NMR,2016,Peugeot,508,sedán,62254742K
5134-KMJ,7Z8FK1G25R4XGBCTW,2018,Peugeot,3008,berlina,39910630H
AV-3940-LR,CEWDDMWE83S9YC0MZ,1994,Toyota,Corolla,sedán,88335627X
PM-5927-LX,ZBD9WYJJ6ZW83GGZK,1993,Hyundai,Tucson,SUV,32478910N
2886-HNN,0EDUXCBK3R5GL98R0,2013,Hyundai,i30,monovolumen,34952982C
4773-CCF,EZ4U8EWZ6E4XWSMTU,2003,Honda,Civic,monovolumen,62927337G
TO-4717-DN,6V7NR6TU94PVV3AH5,1993,Renault,Clio,urbanos,06505635Q
M-5482-JL,8BRN5MH85XTE82MYL,1993,Fiat,Panda,cupé,79810898R
2759-HSX,G8ZSNH7K3N3GWM24L,2012,Skoda,Octavia,berlina,42774915K
2517-CSH,38H70E8AXWM6H2GK2,2003,Ford,Fiesta,urbanos,10447175T
8177-GVN,PBUBC59VXCP50GWF6,2009,Mazda,CX-5,descapotable,87055205K
3488-CJM,CESD57XNX73FLZ57V,2004,BMW,320,todoterreno,53266643T
9160-LVD,T7ZNV199X8UT9GA4P,2021,Skoda,Octavia,monovolumen,01743718L
1586-FSX,RM80501WX3MN14UPU,2008,Toyota,RAV4,SUV,72784515A
4656-BHR,B3TBPL5F9VMJJL38S,2001,Ford,Mustang,todoterreno,51189900L
M-4095-SH,TPUA5U0M9C3TWG9CN,1999,Audi,Q5,SUV,13581220L
B-4054-JP,HHX5RY2N325DYLU5T,1995,Ford,Focus,descapotable,33187725J
4865-CWK,SM2S4A871M61VZPVT,2003,Kia,Sorento,urbanos,01337874X
1562-MXV,VD0T0H912ELCA26TG,2023,Seat,Ibiza,SUV,37730671E
5554-BYJ,9L9PNPGF565Z6BM8K,2001,BMW,320,descapotable,29004089P
2010-GLW,Z9VHGNR68HUTZ32Y3,2010,Mazda,Mazda6,monovolumen,34065859F
6647-LSD,CGVVBUCM3ZR4A7P1Z,2022,Mazda,Mazda6,cupé,98844106L
5727-LGP,7BL4X09U45ZGXJUBS,2021,Seat,Arona,urbanos,85852893B
HU-2057-DX,D342KF5F1VPM2GCL3,1999,Seat,Ateca,deportivo,28299590E
A-3491-PK,FFPPMZGC8GB9LEB9Z,1994,Peugeot,3008,furgoneta,75555171X
2320-DZP,DZGV3X3G8CK2L7RA3,2006,Peugeot,208,descapotable,75228187V
5808-LFT,GX28AY1Y62EVWK75M,2022,Skoda,Kodiaq,berlina,94785977X
3450-GJT,LL7L2KF97NYJDU87H,2009,Audi,A3,monovolumen,31741146L
8324-JKL,XJ5S7F895C4T1C81N,2016,Mazda,MX-5,sedán,49487321S
1295-HSY,DEUUN8E575CBBM4B9,2013,Mazda,MX-5,deportivo,81054123F
8941-JYL,ZCBGGZ4HXGS2B2Y6J,2015,Mercedes-Benz,E-Class,SUV,16871124A
3872-KTZ,MDN9122U5C982N769,2019,Fiat,500,cupé,87779854D
6806-MFW,1CZXMVKL5XK55L0JW,2023,Mazda,MX-5,sedán,17392699F
CC-7671-LL,711HBLSM2LUSED0LU,1992,Fiat,Punto,todoterreno,83705449P
9104-CDF,PMN686S924YKG6WA9,2004,Renault,Megane,urbanos,72216315H
4226-KDH,DFL52XCRXHT80U9U5,2018,Renault,Megane,deportivo,00833161D
7800-HTW,SKSN648D7RTVMJG86,2013,Volkswagen,Passat,deportivo,20977842W
2250-JPX,YCGJB4VJ2AK3BDDTJ,2015,Kia,Sportage,monovolumen,01315548V
6848-KPY,YHXLGZ8K4LW15PUCS,2019,Fiat,500,todoterreno,25060070Y
9021-LNN,3GWZPHS925FPHUBH5,2020,Honda,Jazz,berlina,84706475M
9914-GTR,Z1JYF6ET624WL95Z2,2009,BMW,Z4,furgoneta,64432224R
6443-JMR,KZ61T4588GDCVG27B,2016,Honda,Accord,descapotable,87093250R
4298-LZL,HS2PMT827S3SEZHX0,2022,Mazda,CX-5,cupé,96393998D
1629-KPB,MF1XLV7E5470N5GUD,2018,Kia,Ceed,descapotable,98505840Z
4907-BYD,YVS4T8NE4BCD539AD,2000,Volkswagen,Tiguan,descapotable,21920495T
4552-HRM,9GUX867L4JCVVY0CW,2012,Seat,Ibiza,furgoneta,60643854F
7898-BYZ,K1XUP51C68H3FZ4X0,2001,Seat,Ateca,todoterreno,53007924P
CA-3838-TG,LS1KY9VL1H1CBTXX6,1997,Fiat,500,descapotable,89529340T
P-5080-HH,TFFLLNUG53LFSUZEX,1991,Toyota,Corolla,deportivo,13710958Z
AB-8246-GJ,D6N36NE43J48HKWED,1994,Seat,Arona,SUV,98587986G
9723-DFS,7UNH7D0W29YMJE3A1,2006,Honda,Jazz,monovolumen,13904757S
1265-HZG,YWKB17P5X1MEXJY37,2014,Skoda,Fabia,monovolumen,33911857J
8292-BMG,ZZ701LMJ8ZUY3MYZR,2002,Hyundai,Santa Fe,cupé,34461254D
5572-GLW,VB2PH6YG80Z65MCJ5,2009,Seat,Ibiza,furgoneta,95507757G
7506-DKC,M4EX6K8S5XY311ZJW,2005,BMW,320,cupé,08155803A
8387-HZY,KDMT2RCW7TC2GX2XB,2013,BMW,X5,deportivo,01876504A
4780-LFT,CZT5M6109ZJWLD7F1,2022,Seat,Ateca,berlina,23851765Y
BU-7485-GV,R9081PXF4F5V6LB3T,1991,Renault,Clio,sedán,28953352D
4594-HBF,JPRXUG2F9ELB9S269,2014,BMW,320,deportivo,68474387Y
6585-LSC,YAGG2MRY9TJHH725U,2022,Skoda,Fabia,deportivo,56954081D
3969-BDM,25D7NF7L6JMNCJWHM,2000,Volkswagen,Golf,todoterreno,46161012N
1612-KZK,NT9FU63F47VBB7AY9,2019,Peugeot,208,todoterreno,86314590Y
NA-9706-PS,8Z2TETDP74YEZ3D19,1996,Fiat,Punto,sedán,56226439H
7309-HDV,H48LCHTU0DSD10JX2,2012,Mazda,MX-5,sedán,75606558S
2133-FVX,ZPFG3AU00PLNVGTFU,2007,Nissan,Qashqai,berlina,45235072Y
8579-KGH,K475X1RH9DUHN8XC0,2018,Audi,A4,sedán,46785033C
7463-DPR,LFMRG1VS8P5W2RW1F,2006,Hyundai,Tucson,monovolumen,87779854D
B-6610-RV,XY09T61R43P7902Y1,1995,Toyota,Camry,sedán,58352168H
8794-CFK,KBX5MFW08EE1S6A3S,2004,Volkswagen,Golf,monovolumen,46710669S
3836-GBJ,PBMV6UJL8MCRZNEJP,2009,Fiat,Panda,cupé,76346370D
3903-CZM,BW8YPTUG307CXU95X,2003,Mazda,CX-5,SUV,53266643T
6139-LCG,NFHZU9ME9CKW478RX,2021,Toyota,Yaris,SUV,67333207V
9130-FYH,3N65R6LN1Y8SPU2RM,2008,Peugeot,508,furgoneta,49687261Q
7100-KZT,D1UGDBE48JZF17W3K,2018,Peugeot,508,furgoneta,09992021Q
TO-8422-ML,RBZD0YKH1LSVWRUGV,1990,Mercedes-Benz,E-Class,cupé,54525511D
8402-CZK,G3X2A9RM1HA0CF6YG,2003,Audi,Q7,descapotable,54525511D
5227-FNN,UBP74Z9X7JSPW8PL3,2007,Audi,A4,urbanos,65894571P
3542-BNV,18D6WZEF6P37VJL7X,2000,BMW,Z4,SUV,14452489W
6097-BWR,4SR01ZE30V6US60D3,2000,Honda,Accord,deportivo,58480010A
4510-KMW,8JKV8XD43R8EFB42D,2019,Kia,Picanto,cupé,41504947K
CO-3824-ZS,LDEPSE8V36Y7V1ZAR,1993,BMW,X5,descapotable,01307145D
9388-HMY,8BGZD1UC4C0UZW1GG,2011,Renault,Scenic,furgoneta,15807771D
4789-LHW,HH33T0YW6J6RVTU01,2021,Toyota,Yaris,SUV,92326444M
9031-FTW,JDA2PHG9X9DZNBKVX,2008,Audi,A4,furgoneta,23658592X
5018-GRB,XXS68LHS3KKTVMPZ2,2009,Audi,A4,cupé,05662239F
8674-MHR,E3CK1JV0XKSFTEJ3X,2023,Toyota,Corolla,furgoneta,25706763P
6971-CCH,E224MUCR305W686UL,2004,Audi,Q7,berlina,09164485C
6312-CDN,1Z9ALAE8XA1TP18A9,2003,Nissan,Qashqai,cupé,54169259G
7778-BZF,CZHYHR8HXA5J8BX3A,2000,Hyundai,Santa Fe,descapotable,49052482Z
6424-HTS,AE08PTRD5KUV669TY,2013,Seat,Ateca,furgoneta,34096214W
8989-CWL,K12VWKSZ8E80VU728,2003,Fiat,Tipo,berlina,73255744P
J-4594-YV,FZ83R8DL4W0U0N4C9,1998,Peugeot,308,deportivo,49687261Q
1646-BMR,PMCCUTZ23GUUVSNWZ,2002,Toyota,RAV4,descapotable,22013212G
9697-HCP,WANASV282TR10TL1V,2014,Seat,Ateca,cupé,09579390M
B-3739-PN,23PEF6JH1VUP4G8K6,1993,BMW,Z4,sedán,50896622Z
3718-FFG,NL2WP082XSTXSB10W,2007,Audi,A3,descapotable,70404833Q
7077-CJD,4C371JUG0ZT23HHG4,2003,Kia,Picanto,descapotable,70423096V
2623-LBX,SLCSUARK6HF40NZGL,2022,Seat,Leon,SUV,62102472B
3967-LTY,37XJWB5Z5KZAK9L7M,2020,Mercedes-Benz,GLC,sedán,76584473Q
SE-6145-KT,5998BWCB4KU2T2U53,1992,Audi,A3,sedán,38369348N
9161-FBN,XM9GUNFL3WF1MXK05,2008,Hyundai,Santa Fe,cupé,54464645R
BA-1339-YX,483F9XD4X1C718T10,1993,Kia,Picanto,sedán,87013597C
LU-8514-JK,JYVJUHE32HD4JYY7V,1992,Mazda,Mazda3,descapotable,01240490P
B-6122-SK,E4HFTKMV5KSJETTR5,1991,Toyota,RAV4,SUV,98902123F
9560-JWG,DWJJMZT86W1VG4AHW,2015,Fiat,Panda,urbanos,29493634K
6117-HNN,3C0W4CMC0C5G30PBA,2013,Fiat,Tipo,sedán,56934169S
1964-JXM,R0AFG0G671V43HN39,2016,Fiat,Punto,descapotable,63623325N
CA-1535-PT,U6KYNU0VXGWNPWGEP,1990,Audi,A4,todoterreno,01538813K
SE-2599-YL,K8T7SCWW5LJ5WR8UP,1997,Audi,Q7,sedán,11319209N
6131-BRS,J9K825096N6THZT29,2001,Mazda,MX-5,furgoneta,46759783R
GU-9477-RW,8B15JR107X8R4MP67,1999,Toyota,Corolla,monovolumen,04909857R
2447-KMC,9ZUTF2FT2K0GAAGJE,2018,Kia,Sportage,SUV,36365076Y
2625-FPH,CGEF9RBL2G1YP89GF,2008,Mercedes-Benz,S-Class,cupé,80733817E
LE-9822-HV,MC5YS2WA6KN9TZ1KH,1996,Hyundai,Santa Fe,SUV,94501842V
4706-HHN,LEFEKVAU2C9JG0RP4,2013,Hyundai,Santa Fe,todoterreno,20329103R
5765-CFK,4ZM6G2BK4ATZZG6AG,2004,Skoda,Kodiaq,berlina,85898179X
7193-FMW,DR7UU0TN8ZUNBLWAL,2007,Fiat,Tipo,monovolumen,64043447Q
5318-HLV,7EFXNL645TXZPXDAS,2014,Volkswagen,Polo,todoterreno,54709221H
3322-JCN,SXY7L6ZE1WNTUUFRR,2016,Peugeot,308,todoterreno,94917297T
AV-3534-XL,3BAXKJKC81PTXMLP0,1998,BMW,M3,SUV,13946833R
B-8809-ZD,UAM91U1C65J1MJJZH,1994,Hyundai,i30,berlina,28455594V
9928-DYZ,PP39U1TB8DNWB28HT,2005,Volkswagen,Golf,monovolumen,92327512S
OR-6306-BB,VLE0SMYX0134MMPKY,1998,BMW,X5,berlina,20573985W
2982-FPZ,GD20USH5X8RS07GPA,2007,Seat,Ibiza,furgoneta,36584082Y
BI-3835-MX,89LX9G2E42M4GET09,1993,Honda,Jazz,cupé,04770952Q
4525-GLV,AJ6GH9KL3WE265AA0,2009,Mercedes-Benz,GLC,deportivo,75319903D
3351-HGK,512BZR3608ZUAWJ4R,2013,Skoda,Fabia,cupé,25687479K
PM-1395-VK,7HLSZ7XF29MPCYJGX,1993,Kia,Sportage,SUV,11319209N
S-4624-KH,7V6UW5EA5SJ7TMW8F,1995,Nissan,Juke,cupé,84706475M
PM-9319-BL,DGZ7LX1PXLKZ9LPXC,1998,Kia,Ceed,furgoneta,58908132A
4165-HYB,5DL9SML78USU1BZ23,2011,Renault,Clio,descapotable,36618692R
HU-5495-TJ,KKULDTEW7RGAR1Y7H,1990,Audi,A4,cupé,16803149Q
8819-LHS,BDGEMJN59T87HNLSL,2021,Ford,Fiesta,descapotable,82912078E
3894-KCB,46HLRT8J4G23Z3LBY,2019,Ford,Fiesta,sedán,46644484R
1560-KGN,K1KRFDGD1CL4HP1TU,2019,Toyota,Yaris,berlina,12987418P
8911-GSF,X48MA5D0279LZBC4D,2009,Peugeot,508,berlina,92324617H
SO-8547-JR,3LBCPFW94J6WU1DP2,1990,BMW,X5,descapotable,68719204B
3934-GLV,AY92KBVT9XANWWDMF,2009,Seat,Ateca,urbanos,98301285K
LE-1690-RJ,8LWE842K859UDWPAK,1990,Ford,Focus,berlina,35939894W
5770-GBN,SFWE29ZPXA331VAVY,2009,Mercedes-Benz,GLC,furgoneta,22167176Y
NA-8236-KB,ST3EH5PZ4KHB7ALGS,1995,Ford,Fiesta,berlina,63948636B
6942-BMF,VPKM743787PALR90U,2000,Mercedes-Benz,E-Class,SUV,94807574X
5048-FSZ,24C1BMV964DSZP0K8,2007,Seat,Ibiza,sedán,06587865K
1852-LSB,B4VS6D3Y91KKP7TT9,2021,Skoda,Superb,berlina,17363900G
9424-BHP,CS5UEXK9X8C412W0U,2000,Skoda,Kodiaq,descapotable,90440142W
CC-4565-GY,V2SEWCSS6U6MEWKUR,1992,Toyota,Corolla,deportivo,65230884D
VA-3363-JC,C4THWW4J3ZMDUSR5X,1997,Mercedes-Benz,GLC,todoterreno,63627614T
M-4395-LF,MXMWX8WE4T1M2R8ET,1995,BMW,X5,sedán,41257811C
5946-KKL,AZG3S1UD597VYSEZ7,2018,Renault,Kadjar,deportivo,29289981X
7502-GBW,5TXAT7PZ4G1CWV7VX,2009,BMW,Z4,cupé,47000783F
3662-JMT,SDA0M3EZXZECJ54PN,2015,Audi,A4,furgoneta,36496256V
L-6038-JG,EWPW8WFS1SFJL1B6L,1999,Mercedes-Benz,S-Class,SUV,52995263C
3903-HCH,HBTF8ECP9EVKZ5J8Y,2012,Volkswagen,Golf,deportivo,26784564Y
9164-CPJ,8GM1EJVN405X5ECS1,2004,BMW,X5,todoterreno,11994733A
4208-KDY,FDLCFXPR2YUWLEE04,2018,Volkswagen,Golf,berlina,56226439H
8803-FKL,E13RF1057ECD4RUBT,2008,BMW,320,cupé,94018141Y
3039-BNH,ZAH0H5RXX0FDFEZHA,2001,Hyundai,Elantra,cupé,30974666Z
J-4133-JB,R56THZJW3VMGBLGXL,1990,Fiat,Tipo,cupé,54709221H
9621-KDT,7DE4HGZA1E17PHEJ4,2019,Volkswagen,Polo,sedán,20033274K
6732-BNK,WNC78TN86DKHH1HKJ,2000,Hyundai,Elantra,todoterreno,08597225D
SO-8186-XH,RH4D3VBL810308DR7,1995,Ford,Focus,deportivo,01752913Z
T-5032-CW,DJG9FK923BRYYK5NN,1995,Mercedes-Benz,S-Class,deportivo,18049849R
6175-JNZ,DR9D1BL972PXXYGM2,2015,Audi,A3,SUV,17663238C
SA-7403-TL,U4ZBSUNT1H67BDUSW,1992,Renault,Kadjar,monovolumen,78225088H
3460-HCB,AMMRAMFF03RB0R314,2011,Kia,Picanto,descapotable,90741928M
PM-2444-VY,T1NH70R22ET8PK19F,1991,Fiat,Tipo,cupé,75555171X
4062-BKX,2EA6T5GZ6T77DWCR7,2000,Kia,Sportage,furgoneta,53993923C
8937-LHM,H2C9Y2HN9UM1NP0MU,2020,Skoda,Superb,deportivo,05346935X
HU-8676-TN,JX4R22P60UF5D66ZJ,1994,Ford,Mustang,monovolumen,83806561N
7536-LHP,WNU32S937CUFR1TCY,2020,Mazda,CX-5,SUV,69713680J
9700-MZL,RJ0X2FVY2STNJMK29,2023,BMW,320,todoterreno,76208815V
C-4611-DZ,EK4SBYH37RSJLG3F3,1991,Hyundai,Tucson,todoterreno,49006629T
1567-HML,Y4TMM1643DK4VJFC3,2011,Hyundai,Tucson,monovolumen,20934209T
9355-CXF,5J01THZ6809U1PBD0,2003,Mercedes-Benz,E-Class,cupé,00703972B
TE-5944-LX,HAWDBG1X4VS7T2EHF,1997,Nissan,Leaf,SUV,65046066L
AV-5673-WF,X4GYLSHT6D91DHEAP,1995,BMW,X5,monovolumen,88092651Y
1266-GKV,F09K0CX76XHGAFSSB,2009,Kia,Picanto,descapotable,32752701B
6227-LDC,3H2ZAXUZ9P5JW8BZ6,2022,BMW,M3,cupé,31036865K
AV-6313-LG,68ZV28GW4ZVAEPB44,1993,Ford,Mustang,descapotable,55728754F
S-9921-YP,A9V68UVY8N1KKV6KH,1991,Mazda,Mazda3,SUV,60274576V
7768-JTV,2SGU6LDF59V47HBTS,2016,Fiat,Tipo,todoterreno,73807886N
2251-LVX,X7B7UCLP71V5CNUAB,2020,Seat,Ibiza,sedán,24175706S
2659-KXC,RZWRUPUX6V9HEHDYM,2019,Skoda,Octavia,cupé,22397907R
C-2553-YV,A5LRH7763FF5SF8KK,1992,Seat,Ibiza,sedán,22448169P
9178-GSN,BXHECJS52X615BMT4,2010,Ford,Mustang,SUV,62966769Z
3193-CTZ,8ELCXCNL04CMWTHL9,2004,Fiat,Punto,deportivo,93557239R
SO-7680-PC,NXYTL3R4598UWJURW,1991,Nissan,Micra,todoterreno,61251395A
SE-7755-LG,CA646RYD655H08JWY,1999,Hyundai,Elantra,SUV,65445588P
2977-JMP,LTCSKGYY179PN3055,2016,Fiat,Tipo,todoterreno,66774213S
CU-5061-RW,H06MDD662RL5G71LP,1999,Nissan,Qashqai,deportivo,78344953F
SA-7042-LL,P4L1TJ520DRRM4EK7,1994,Mazda,CX-5,deportivo,09579390M
4638-GKN,YD8R06MK9BVVZYW5G,2009,Volkswagen,Passat,berlina,81109681C
7474-BJH,MU7S0YF98NGH5E6J2,2002,Mercedes-Benz,GLC,sedán,15516034G
MA-5566-GV,70YDV8C87BUDMTNS3,1995,Nissan,Juke,monovolumen,96196560A
1126-GZW,TTRRFDWC7DD6CJKE7,2009,Renault,Clio,urbanos,04032157G
CA-1532-MM,LX2H63LN90MYS05BN,1992,Volkswagen,Tiguan,berlina,89007095Q
7467-FMV,4SB5B7Z97GC00H2DG,2007,Toyota,Yaris,sedán,82943828D
4061-LCT,K61TG9FH1DVD9XD17,2022,Volkswagen,Passat,descapotable,26032012Z
GR-8616-WN,47MHVWDR87J5RB357,1990,Seat,Leon,cupé,02443344P
2649-DJV,X2RK1KES5FG13L1YH,2005,Fiat,500,urbanos,58998942D
5439-KCC,PC0CR55D41DJVSRC4,2018,Honda,Jazz,SUV,59906083F
2941-JRH,RXHCV6F39J98SGESD,2016,Honda,Civic,deportivo,70443877Y
5388-LDB,TKD3YCDE5TRU03XJD,2022,Honda,Accord,sedán,96483869L
4309-DMF,5BY8TPNT1P2GVWLHJ,2006,Audi,A3,sedán,94785977X
BU-6477-BJ,5N78EA4VXWDZU0KUD,1996,Renault,Scenic,cupé,85660544B
CO-4779-YT,V86Y4XJZ6GYGARJUF,1994,Renault,Clio,sedán,53279629Z
6843-HKC,59X5YT729HMEC35TP,2014,Ford,Focus,monovolumen,46971376V
9057-LTS,J2APNYH26YM77A74U,2020,Toyota,RAV4,SUV,20977842W
9189-HKL,XBTP7RC504SYA4T08,2014,Kia,Ceed,cupé,60508210V
A-8381-GV,B44WLMLHXMM0A8BKK,1990,Renault,Kadjar,descapotable,67069151R
3828-CGR,1HJ8K52Z1HVW3XXSC,2004,Seat,Ibiza,SUV,12244611D
9069-LJR,9ML81X748EWMB0UM3,2020,Ford,Mustang,descapotable,85898179X
3260-KPM,CEBV863R3KTKJU7N5,2018,Renault,Scenic,monovolumen,81074757X
9072-BHB,77F37A4V4EMW7TE5E,2002,Kia,Sportage,sedán,73399841X
3970-BZJ,5HU77019X7PJF5N99,2002,Seat,Ibiza,monovolumen,45032686C
7473-HSV,VYNYVHKK225DMNNWJ,2013,Kia,Picanto,berlina,33684737H
7700-DPS,5Z8LFBH09AWZC8MF7,2006,Kia,Sorento,berlina,15516034G
CU-4039-XT,AG6UFW7S9JK4YAU3U,1996,Audi,A4,monovolumen,73255744P
6743-LNZ,WW3Z342D05BAX8S3M,2020,Hyundai,Elantra,cupé,13248985L
CA-4716-NC,PYMJ70YD3090CFGWU,1993,Mazda,Mazda3,cupé,08155803A
BU-6187-MF,2P86V7E33WWAA91RC,1999,Kia,Picanto,furgoneta,13904757S
TO-1282-VL,R0A835780ZY9YL60Y,1991,Mazda,Mazda6,furgoneta,26426749W
2808-CSX,N1JRABDN0L8J3P9JR,2004,Skoda,Fabia,deportivo,25489443S
9785-HSJ,916PECJ90843FLGNY,2012,Renault,Megane,furgoneta,62010337Z
5954-JMC,LAVWUHKL1FCWTEL2R,2015,Audi,Q7,descapotable,11638172B
4866-FLW,FTK5YKSD0TRL4PVPN,2008,Renault,Megane,sedán,84706475M
1393-LLF,ECTXNXBW3B032MMKV,2020,Mercedes-Benz,GLC,deportivo,39988436S
7666-HPT,Y3GSS5VS1DWB7FUVT,2012,Hyundai,Tucson,cupé,76584473Q
8508-HXR,7A1H3XUM8CW2JP34Y,2014,Hyundai,Elantra,cupé,33148928V
6011-DMD,3AHD2B1P74BZ1MXLZ,2005,Audi,A3,descapotable,83388961T
4864-LTT,12WS0Y9M7YDMWPPME,2022,Skoda,Octavia,todoterreno,63627614T
BA-6334-XY,ZE8VS1KG5MET6N3AZ,1994,Seat,Arona,berlina,30903526J
CR-6961-DL,WKM9PM3R61WD3MNBM,1997,Kia,Sportage,todoterreno,86527828B
2310-HTP,LX3B5TFM0GTWXDZJC,2013,Peugeot,3008,furgoneta,17582316N
1288-CNM,7L4P4BK67H5M6NFXW,2004,Volkswagen,Polo,urbanos,51580802J
J-4118-HL,0DNZKSL65TDS1VJA4,1999,BMW,Z4,deportivo,11319209N
BI-2020-VG,CYPHT4LL5S5GMTD1P,1993,Mazda,Mazda6,berlina,20426260Y
4992-FZM,ASJ55HZHXRCT4MKXW,2008,Hyundai,Elantra,SUV,05662954D
S-1903-MV,PB0XM84G8VMZSLX52,1991,Fiat,500,berlina,07227822A
4000-LDV,P9WA9W8N1RPBYXBDL,2022,Skoda,Fabia,descapotable,22986787N
SO-8594-YW,YVS20C0W8AREEEECX,1994,Honda,Accord,SUV,90552017M
4758-BLK,4CDKNW8X4YFL6KTVM,2002,Mazda,MX-5,todoterreno,12292380F
7098-BZF,DTJJGPMK8HXPJSDCF,2000,Ford,Mustang,cupé,96721012D
3359-FFB,Y9FD7HU5XR29GTUBC,2008,Renault,Megane,cupé,67579359T
V-6616-CR,RSVK6K6Z8A07L0ER6,1998,Mercedes-Benz,S-Class,sedán,06885333F
2302-BWY,VKZ3SMB88W2KF6Z9U,2000,Peugeot,308,monovolumen,80947987Q
5738-FPW,HHYYENME3LG488FK6,2007,Mercedes-Benz,E-Class,urbanos,95507757G
L-1527-MK,P9E4HBXNXGEVPP06F,1994,Volkswagen,Passat,sedán,44432378N
LO-8640-WY,1MPZA2E73CES54SY6,1993,Kia,Sportage,monovolumen,72743398X
O-7899-KK,6SEYGHX43HZWPF9X0,1998,Volkswagen,Polo,descapotable,42760717Z
3208-BZH,JCMDB8S1XC3PM6JUR,2002,Nissan,Qashqai,berlina,00884630G
7935-GBL,Z4UGYDYJ29UCH3E2W,2009,Honda,Civic,todoterreno,66127398Y
7513-DRK,TMLPUVXTXZ8RC9ZAK,2006,Kia,Sorento,SUV,13632968V
5057-HDB,DJ077NAG1VYNGEM86,2012,Volkswagen,Polo,urbanos,66423190H
AL-8435-WH,2FV18WSW1MZ042T5E,1993,Mercedes-Benz,S-Class,monovolumen,94630366V
OR-4136-HX,AMXK6DCG8PFJZ0SWL,1995,Mazda,Mazda6,todoterreno,72784515A
2921-LPM,U6CH7SV94LXKFTCD3,2021,Hyundai,Tucson,descapotable,79810898R
H-1277-CV,Y1L7PFX584W8UNN8X,1994,Toyota,Camry,urbanos,20785054T
4774-JBT,CNFECZFU3HAJFTDN4,2015,Audi,Q7,urbanos,84040081J
2471-HYD,6PD5VEYZ8A7H5PPCS,2014,Skoda,Fabia,urbanos,79631329Q
PO-7269-BK,7SZ6MFU77VT85A9EX,1998,Hyundai,Elantra,cupé,35055756F
1974-HCP,HLFHZB4H8PFC04K2J,2014,Toyota,Camry,sedán,13989573F
9502-BPG,E8DG8FGF8K003M89V,2000,Kia,Ceed,deportivo,35920972D
5949-HTC,NYA3S3W31A85WU3V4,2011,Toyota,RAV4,sedán,24568816D
4763-KGL,4MZ01BDW3M18SJZHM,2018,Ford,Fiesta,monovolumen,44858420W
8520-HLM,WWMET6WK7XHKRRMPA,2011,BMW,320,furgoneta,48456916X
3815-HZR,YZN2BT9S9F6H5H0B2,2012,Skoda,Kodiaq,furgoneta,65363916D
8452-LHM,3P89BR1R8UCLNJ7M5,2021,Fiat,500,todoterreno,86527828B
H-1744-DB,0AFM00756KWREG0W4,1991,Renault,Clio,monovolumen,61866064C
8749-HCZ,JD3Z984RX3FSJ4BD7,2011,Mercedes-Benz,C-Class,monovolumen,92213200J
